Site-number,Prior,After-scan,threat,recommendations,actions,trust-feedback,trust-feedback-mean,trust-estimated-mean,trust-estimated-sample,true-performance,estimated-performance,alpha0,beta0,ws,wf
0,,,,,,0.3754337743047191,0.6666666666666666,0.4,0.24788657707098125,,,40.0,60.0,20.0,30.0
1,0.4010878649652149,0.8185207868493157,1,0,1,0.35422250613796075,0.4,0.25,0.2884793783147651,0,0,40.00935108539213,59.997571069134956,20.0,29.999660899757014
2,0.43635363536290195,0.8291938988593309,1,0,1,0.18524947419413101,0.3333333333333333,0.2105689879279158,0.2000053909492007,0,0,39.98968973114438,60.00351622117774,20.0,30.000160065835942
3,0.6192166104101658,0.7433707397606066,1,0,1,0.235366658972706,0.2857142857142857,0.18177640156325742,0.1976564597243592,0,0,39.982285884413855,60.00628835806773,20.0,30.00018744901729
4,0.46882051435300826,0.5143833319189868,0,0,1,0.3201507727759341,0.3333333333333333,0.24993730918954787,0.2916815348870919,1,1,39.98688988333345,60.00420233517286,20.000599890013603,29.99948650947
5,0.5754769644312251,0.8646554286614481,1,0,1,0.2930906927563777,0.29411764705882354,0.2221848374441287,0.15950199174777385,0,0,40.00789058298085,59.99632307923335,20.002025173100503,29.997620106457724
